# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb 14 21:31:11 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_rade < 1)
# CONSTRAINT:  order by pl_rade asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_rade,sy_dist
14,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,W. M. Keck Observatory,0,11.209,33.8281000
15,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,Cerro Tololo Inter-American Observatory,0,16.141,40.0896412
16,2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,0,12.600,120.4239870
17,2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,0,12.900,64.3080000
18,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,0,13.400,396.3320000
19,2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,0,12.300,69.5737000
20,30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,12.300,44.6570000
21,4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,12.700,73.4603000
22,42 Dra b,42 Dra,2,1,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,0,13.000,90.6545000
23,47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,13.200,13.7967000
24,47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,14.200,13.7967000
25,47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,13.500,13.7967000
26,51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,13.400,29.7575000
27,51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,14.300,15.4614000
28,55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,13.900,12.5855000
29,55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,8.510,12.5855000
30,55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,13.000,12.5855000
31,55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,1.875,12.5855000
32,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Observatories,0,7.590,12.5855000
33,6 Lyn b,6 Lyn,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,13.400,54.6599000
34,61 Vir b,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,2.110,8.5033200
35,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,4.460,8.5033200
36,61 Vir d,61 Vir,1,3,Radial Velocity,2009,Multiple Observatories,0,5.110,8.5033200
37,7 CMa b,7 CMa,1,2,Radial Velocity,2011,Anglo-Australian Telescope,0,13.400,19.8101000
38,7 CMa c,7 CMa,1,2,Radial Velocity,2019,Multiple Observatories,0,13.900,19.8101000
39,70 Vir b,70 Vir,1,1,Radial Velocity,1996,Lick Observatory,0,12.600,17.9011000
40,75 Cet b,75 Cet,2,1,Radial Velocity,2012,Okayama Astrophysical Observatory,0,13.100,82.9613000
41,8 UMi b,8 UMi,1,1,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0,13.600,162.5520000
42,81 Cet b,81 Cet,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,0,12.800,101.2600000
43,91 Aqr b,91 Aqr,3,1,Radial Velocity,2013,Lick Observatory,0,13.100,44.0304000
44,AB Aur b,AB Aur,1,1,Imaging,2022,Subaru Telescope,0,12.500,162.1270000
45,AB Pic b,AB Pic,1,1,Imaging,2005,Paranal Observatory,0,12.300,50.0475000
46,AU Mic b,AU Mic,1,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,4.070,9.7221000
47,AU Mic c,AU Mic,1,2,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,3.240,9.7221000
48,BD+03 2562 b,BD+03 2562,1,1,Radial Velocity,2017,Multiple Observatories,0,12.700,1070.6300000
49,BD+14 4559 b,BD+14 4559,1,1,Radial Velocity,2009,McDonald Observatory,0,13.800,49.3520000
50,BD+15 2375 b,BD+15 2375,1,1,Radial Velocity,2016,Roque de los Muchachos Observatory,0,13.800,768.0450000
51,BD+15 2940 b,BD+15 2940,1,1,Radial Velocity,2013,McDonald Observatory,0,13.700,426.4200000
52,BD+20 2457 b,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,11.600,1539.7100000
53,BD+20 2457 c,BD+20 2457,1,2,Radial Velocity,2009,McDonald Observatory,0,12.400,1539.7100000
54,BD+20 274 b,BD+20 274,1,1,Radial Velocity,2012,McDonald Observatory,0,13.000,1322.5100000
55,BD+20 594 b,BD+20 594,1,1,Transit,2016,K2,0,2.578,179.4610000
56,BD+45 564 b,BD+45 564,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,13.600,53.6220000
57,BD+48 738 b,BD+48 738,1,1,Radial Velocity,2011,McDonald Observatory,0,13.900,871.4930000
58,BD+48 740 b,BD+48 740,1,1,Radial Velocity,2018,Multiple Observatories,0,13.500,666.5890000
59,BD+49 828 b,BD+49 828,1,1,Radial Velocity,2015,McDonald Observatory,0,13.500,442.0420000
60,BD+55 362 b,BD+55 362,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,14.000,52.5697000
61,BD+60 1417 b,BD+60 1417,1,1,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat,0,14.684,44.9543000
62,BD+63 1405 b,BD+63 1405,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,13.000,38.0473000
63,BD-00 4475 b,BD-00 4475,1,1,Radial Velocity,2021,Haute-Provence Observatory,0,12.000,42.6402000
64,BD-06 1339 b,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,1,2.850,20.2695000
65,BD-06 1339 c,BD-06 1339,1,2,Radial Velocity,2013,La Silla Observatory,0,8.380,20.2695000
66,BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,0,3.610,41.3342000
67,BD-08 2823 c,BD-08 2823,1,2,Radial Velocity,2009,La Silla Observatory,0,12.500,41.3342000
68,BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,W. M. Keck Observatory,0,14.100,84.4069000
69,BD-11 4672 b,BD-11 4672,1,2,Radial Velocity,2014,La Silla Observatory,0,14.100,27.1665000
70,BD-11 4672 c,BD-11 4672,1,2,Radial Velocity,2020,Roque de los Muchachos Observatory,0,4.040,27.1665000
71,BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,La Silla Observatory,0,12.500,925.2140000
72,BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,La Silla Observatory,0,12.800,34.4603000
73,CD Cet b,CD Cet,1,1,Radial Velocity,2020,Calar Alto Observatory,0,1.820,8.6071500
74,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,W. M. Keck Observatory,0,12.400,23.1000000
75,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,Imaging,2021,Hubble Space Telescope,0,20.849,
76,CHXR 73 b,CHXR 73,1,1,Imaging,2006,Hubble Space Telescope,0,12.300,190.3740000
77,CI Tau b,CI Tau,1,1,Radial Velocity,2019,Multiple Observatories,0,12.400,157.9980000
78,COCONUTS-2 b,COCONUTS-2 A,1,1,Imaging,2021,NASA Infrared Telescope Facility (IRTF),0,12.442,10.8864000
79,CT Cha b,CT Cha,1,1,Imaging,2007,Paranal Observatory,0,24.660,190.7200000
80,CoRoT-1 b,CoRoT-1,1,1,Transit,2008,CoRoT,0,16.700,787.9090000
81,CoRoT-10 b,CoRoT-10,1,1,Transit,2010,CoRoT,0,10.870,338.3860000
82,CoRoT-11 b,CoRoT-11,1,1,Transit,2010,CoRoT,0,16.030,655.0370000
83,CoRoT-12 b,CoRoT-12,1,1,Transit,2010,CoRoT,0,16.140,1126.3700000
84,CoRoT-13 b,CoRoT-13,1,1,Transit,2010,CoRoT,0,9.920,1148.9300000
85,CoRoT-14 b,CoRoT-14,1,1,Transit,2010,CoRoT,0,12.220,1744.6000000
86,CoRoT-16 b,CoRoT-16,1,1,Transit,2011,CoRoT,0,13.110,732.4090000
87,CoRoT-17 b,CoRoT-17,1,1,Transit,2011,CoRoT,0,11.430,1176.1200000
88,CoRoT-18 b,CoRoT-18,1,1,Transit,2011,CoRoT,0,14.680,764.8890000
89,CoRoT-19 b,CoRoT-19,1,1,Transit,2011,CoRoT,0,14.460,790.6630000
90,CoRoT-2 b,CoRoT-2,2,1,Transit,2008,CoRoT,0,16.432,213.2830000
91,CoRoT-20 b,CoRoT-20,1,2,Transit,2011,CoRoT,0,9.416,844.0610000
92,CoRoT-20 c,CoRoT-20,1,2,Radial Velocity,2018,Multiple Observatories,0,12.200,844.0610000
93,CoRoT-21 b,CoRoT-21,1,1,Transit,2012,CoRoT,0,14.572,1398.8341969
94,CoRoT-22 b,CoRoT-22,1,1,Transit,2014,CoRoT,0,4.880,627.1580000
95,CoRoT-23 b,CoRoT-23,1,1,Transit,2011,CoRoT,0,11.770,1060.9700000
96,CoRoT-24 b,CoRoT-24,1,2,Transit,2014,CoRoT,0,3.700,591.5550000
97,CoRoT-24 c,CoRoT-24,1,2,Transit,2014,CoRoT,0,5.000,591.5550000
98,CoRoT-25 b,CoRoT-25,1,1,Transit,2013,CoRoT,0,12.110,1103.4800000
99,CoRoT-26 b,CoRoT-26,1,1,Transit,2013,CoRoT,0,14.120,1045.1800000
100,CoRoT-27 b,CoRoT-27,1,1,Transit,2014,CoRoT,0,11.287,1010.2800000
101,CoRoT-28 b,CoRoT-28,1,1,Transit,2015,CoRoT,0,10.705,766.1830000
102,CoRoT-29 b,CoRoT-29,1,1,Transit,2015,CoRoT,0,10.088,806.5070000
103,CoRoT-3 b,CoRoT-3,1,1,Transit,2008,CoRoT,0,11.320,768.7710000
104,CoRoT-30 b,CoRoT-30,1,1,Transit,2020,CoRoT,0,11.310,1032.2300000
105,CoRoT-31 b,CoRoT-31,1,1,Transit,2020,CoRoT,0,16.365,2005.7600000
106,CoRoT-35 b,CoRoT-35,1,1,Transit,2022,CoRoT,0,18.831,1123.2100000
107,CoRoT-36 b,CoRoT-36,1,1,Transit,2022,CoRoT,0,15.805,925.9580000
108,CoRoT-4 b,CoRoT-4,1,1,Transit,2008,CoRoT,0,13.340,726.4120000
109,CoRoT-5 b,CoRoT-5,1,1,Transit,2009,CoRoT,0,15.558,882.4720000
110,CoRoT-6 b,CoRoT-6,1,1,Transit,2009,CoRoT,0,13.068,645.2940000
111,CoRoT-7 b,CoRoT-7,1,3,Transit,2009,CoRoT,0,1.681,159.9060000
112,CoRoT-7 c,CoRoT-7,1,3,Radial Velocity,2009,CoRoT,0,2.830,159.9060000
113,CoRoT-7 d,CoRoT-7,1,3,Radial Velocity,2022,La Silla Observatory,0,4.310,159.9060000
114,CoRoT-8 b,CoRoT-8,1,1,Transit,2010,CoRoT,0,6.390,322.0370000
115,CoRoT-9 b,CoRoT-9,2,1,Transit,2009,CoRoT,0,11.949,412.9800000
116,CoRoTID 223977153 b,CoRoTID 223977153,1,1,Transit,2017,CoRoT,0,6.389,576.6830000
117,DE CVn b,DE CVn,2,1,Eclipse Timing Variations,2018,Multiple Facilities,0,12.400,30.5225000
118,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,Paranal Observatory,0,11.900,20.7700000
119,DH Tau b,DH Tau,1,1,Imaging,2004,Subaru Telescope,0,30.264,134.8460000
120,DMPP-1 b,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,0,5.290,62.5388000
121,DMPP-1 c,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,0,3.060,62.5388000
122,DMPP-1 d,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,0,1.650,62.5388000
123,DMPP-1 e,DMPP-1,1,4,Radial Velocity,2019,La Silla Observatory,0,1.860,62.5388000
124,DMPP-2 b,DMPP-2,1,1,Radial Velocity,2019,Multiple Facilities,0,14.300,137.9400000
125,DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,La Silla Observatory,0,1.410,45.2300000
126,DP Leo b,DP Leo,2,1,Eclipse Timing Variations,2009,Yunnan Astronomical Observatory,0,12.700,305.6840000
127,DS Tuc A b,DS Tuc A,2,1,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,5.700,44.0622000
128,EPIC 201170410.02,EPIC 201170410,1,1,Transit,2020,K2,0,1.047,134.0000000
129,EPIC 201238110 b,EPIC 201238110,1,1,Transit,2019,K2,0,1.870,159.2590000
130,EPIC 201427007 b,EPIC 201427007,1,1,Transit,2021,K2,0,1.500,706.3910000
131,EPIC 201497682 b,EPIC 201497682,1,1,Transit,2019,K2,0,0.692,253.0260000
132,EPIC 201595106 b,EPIC 201595106,1,1,Transit,2021,K2,0,1.300,232.1000000
133,EPIC 201615463 c,K2-166,1,2,Transit,2019,K2,0,1.220,476.8820000
134,EPIC 201754305 d,K2-16,1,3,Transit,2019,K2,0,1.030,334.9670000
135,EPIC 201757695.02,EPIC 201757695,1,1,Transit,2020,K2,0,0.908,577.6000000
136,EPIC 201833600 c,K2-50,1,2,Transit,2019,K2,0,1.000,257.4430000
137,EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,K2,0,1.040,436.4880000
138,EPIC 205950854 c,K2-168,1,2,Transit,2019,K2,0,1.310,243.9350000
139,EPIC 206024342 b,EPIC 206024342,1,3,Transit,2019,K2,0,1.700,369.8880000
140,EPIC 206024342 c,EPIC 206024342,1,3,Transit,2021,K2,0,1.400,369.8880000
141,EPIC 206024342 d,EPIC 206024342,1,3,Transit,2021,K2,0,2.600,369.8880000
142,EPIC 206032309 b,EPIC 206032309,1,1,Transit,2019,K2,0,1.010,161.3650000
143,EPIC 206042996 b,EPIC 206042996,1,2,Transit,2019,K2,0,1.700,451.7690000
144,EPIC 206042996 c,EPIC 206042996,1,2,Transit,2021,K2,0,1.200,451.7690000
145,EPIC 206215704 b,EPIC 206215704,1,1,Transit,2019,K2,0,1.000,109.8880000
146,EPIC 206317286 b,EPIC 206317286,1,2,Transit,2019,K2,0,0.960,314.3500000
147,EPIC 206317286 c,EPIC 206317286,1,2,Transit,2022,K2,0,2.094,314.3500000
148,EPIC 211822797 b,EPIC 211822797,1,1,Transit,2016,K2,0,1.920,186.1970000
149,EPIC 211945201 b,EPIC 211945201,1,1,Transit,2018,K2,0,5.760,181.6900000
150,EPIC 212297394 b,EPIC 212297394,1,2,Transit,2019,K2,0,1.480,418.3950000
151,EPIC 212297394 c,EPIC 212297394,1,2,Transit,2016,K2,0,2.270,418.3950000
152,EPIC 212424622 b,EPIC 212424622,1,1,Transit,2019,K2,0,2.170,611.8040000
153,EPIC 212499991 b,EPIC 212499991,1,1,Transit,2019,K2,0,1.600,283.2900000
154,EPIC 212587672 b,EPIC 212587672,1,2,Transit,2019,K2,0,1.260,320.0700000
155,EPIC 212587672 c,EPIC 212587672,1,2,Transit,2016,K2,0,2.320,320.0700000
156,EPIC 212624936 b,EPIC 212624936,1,2,Transit,2021,K2,0,1.200,561.9290000
157,EPIC 212624936 c,EPIC 212624936,1,2,Transit,2021,K2,0,2.300,561.9290000
158,EPIC 212737443 b,EPIC 212737443,1,2,Transit,2019,K2,0,2.586,336.2500000
159,EPIC 212737443 c,EPIC 212737443,1,2,Transit,2019,K2,0,2.690,336.2500000
160,EPIC 220492298 b,EPIC 220492298,1,1,Transit,2021,K2,0,0.990,624.5120000
161,EPIC 220554210 c,K2-282,1,2,Transit,2019,K2,0,1.600,496.2890000
162,EPIC 220674823 b,EPIC 220674823,1,2,Transit,2016,K2,0,1.600,244.5900000
163,EPIC 220674823 c,EPIC 220674823,1,2,Transit,2016,K2,0,2.200,244.5900000
164,EPIC 228836835 b,EPIC 228836835,1,1,Transit,2021,K2,0,1.100,150.1240000
165,EPIC 246851721 b,EPIC 246851721,2,1,Transit,2018,K2,0,11.781,372.6320000
166,EPIC 248847494 b,EPIC 248847494,1,1,Transit,2018,K2,0,12.442,551.8860000
167,EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,K2,0,1.950,321.2960000
168,EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,K2,0,3.670,321.2960000
169,EPIC 249893012 d,EPIC 249893012,1,3,Transit,2020,K2,0,3.940,321.2960000
170,FU Tau b,FU Tau,1,1,Imaging,2008,Spitzer Space Telescope,0,12.200,133.4950466
171,G 264-012 b,G 264-012,1,2,Radial Velocity,2021,Calar Alto Observatory,0,1.390,16.0090000
172,G 264-012 c,G 264-012,1,2,Radial Velocity,2021,Calar Alto Observatory,0,1.760,16.0090000
173,G 9-40 b,G 9-40,1,1,Transit,2019,K2,0,2.025,27.9276000
174,GJ 1002 b,GJ 1002,1,2,Radial Velocity,2022,Multiple Observatories,0,1.030,4.8486700
175,GJ 1002 c,GJ 1002,1,2,Radial Velocity,2022,Multiple Observatories,0,1.100,4.8486700
176,GJ 1061 b,GJ 1061,1,3,Radial Velocity,2020,La Silla Observatory,0,1.100,3.6727800
177,GJ 1061 c,GJ 1061,1,3,Radial Velocity,2020,La Silla Observatory,0,1.180,3.6727800
178,GJ 1061 d,GJ 1061,1,3,Radial Velocity,2020,La Silla Observatory,0,1.160,3.6727800
179,GJ 1132 b,GJ 1132,1,2,Transit,2015,Cerro Tololo Inter-American Observatory,0,1.130,12.6130000
180,GJ 1132 c,GJ 1132,1,2,Radial Velocity,2018,La Silla Observatory,0,1.430,12.6130000
181,GJ 1148 b,GJ 1148,1,2,Radial Velocity,2010,W. M. Keck Observatory,0,11.900,11.0143000
182,GJ 1148 c,GJ 1148,1,2,Radial Velocity,2017,Calar Alto Observatory,0,9.710,11.0143000
183,GJ 1151 c,GJ 1151,1,1,Radial Velocity,2023,Multiple Facilities,0,3.250,8.0362500
184,GJ 1214 b,GJ 1214,1,1,Transit,2009,MEarth Project,0,2.742,14.6427000
185,GJ 1252 b,GJ 1252,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,1.180,20.3730000
186,GJ 1265 b,GJ 1265,1,1,Radial Velocity,2018,Calar Alto Observatory,0,2.630,10.2525000
187,GJ 143 b,GJ 143,1,2,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,2.610,16.3200000
188,GJ 15 A b,GJ 15 A,2,2,Radial Velocity,2014,W. M. Keck Observatory,1,1.550,3.5622800
189,GJ 15 A c,GJ 15 A,2,2,Radial Velocity,2018,Roque de los Muchachos Observatory,0,6.670,3.5622800
190,GJ 160.2 b,GJ 160.2,1,1,Radial Velocity,2014,Multiple Observatories,0,3.170,25.8557000
191,GJ 163 b,GJ 163,1,3,Radial Velocity,2013,La Silla Observatory,0,3.250,15.1285000
192,GJ 163 c,GJ 163,1,3,Radial Velocity,2013,La Silla Observatory,0,2.500,15.1285000
193,GJ 163 d,GJ 163,1,3,Radial Velocity,2013,La Silla Observatory,0,5.920,15.1285000
194,GJ 179 b,GJ 179,1,1,Radial Velocity,2009,W. M. Keck Observatory,0,13.900,12.3560000
195,GJ 180 b,GJ 180,1,3,Radial Velocity,2014,Multiple Observatories,0,2.430,11.9407000
196,GJ 180 c,GJ 180,1,3,Radial Velocity,2014,Multiple Observatories,0,2.410,11.9407000
197,GJ 180 d,GJ 180,1,3,Radial Velocity,2020,Multiple Facilities,0,2.660,11.9407000
198,GJ 2030 b,GJ 2030,1,2,Radial Velocity,2022,Multiple Observatories,0,1.980,37.0788000
199,GJ 2030 c,GJ 2030,1,2,Radial Velocity,2022,Multiple Observatories,0,12.300,37.0788000
200,GJ 2056 b,GJ 2056,1,1,Radial Velocity,2020,Multiple Observatories,0,4.170,28.4434000
201,GJ 229 A c,GJ 229,2,2,Radial Velocity,2020,Multiple Facilities,0,2.870,5.7562400
202,GJ 229 b,GJ 229,2,2,Radial Velocity,2014,Multiple Observatories,0,3.960,5.7562400
203,GJ 251 b,GJ 251,1,1,Radial Velocity,2020,W. M. Keck Observatory,0,1.830,5.5805700
204,GJ 27.1 b,GJ 27.1,1,1,Radial Velocity,2014,Multiple Observatories,0,3.660,23.6062000
205,GJ 273 b,GJ 273,1,2,Radial Velocity,2017,La Silla Observatory,0,1.510,5.9215350
206,GJ 273 c,GJ 273,1,2,Radial Velocity,2017,La Silla Observatory,0,1.060,5.9215350
207,GJ 3021 b,GJ 3021,2,1,Radial Velocity,2000,La Silla Observatory,0,13.100,17.5559000
208,GJ 3082 b,GJ 3082,1,1,Radial Velocity,2020,Multiple Facilities,0,2.790,16.6186000
209,GJ 3090 b,GJ 3090,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,2.130,22.4751000
210,GJ 3138 b,GJ 3138,1,3,Radial Velocity,2017,La Silla Observatory,0,1.180,28.4712000
211,GJ 3138 c,GJ 3138,1,3,Radial Velocity,2017,La Silla Observatory,0,1.880,28.4712000
212,GJ 3138 d,GJ 3138,1,3,Radial Velocity,2017,La Silla Observatory,0,3.230,28.4712000
213,GJ 317 b,GJ 317,1,2,Radial Velocity,2007,W. M. Keck Observatory,0,13.300,15.1968000
214,GJ 317 c,GJ 317,1,2,Radial Velocity,2018,W. M. Keck Observatory,0,13.500,15.1968000
215,GJ 3222 b,GJ 3222,1,1,Radial Velocity,2022,Multiple Observatories,0,3.450,18.2381700
216,GJ 328 b,GJ 328,1,1,Radial Velocity,2013,McDonald Observatory,0,13.300,20.5266000
217,GJ 3293 b,GJ 3293,1,4,Radial Velocity,2015,La Silla Observatory,0,5.190,20.1903000
218,GJ 3293 c,GJ 3293,1,4,Radial Velocity,2015,La Silla Observatory,0,4.870,20.1903000
219,GJ 3293 d,GJ 3293,1,4,Radial Velocity,2017,La Silla Observatory,0,2.670,20.1903000
220,GJ 3293 e,GJ 3293,1,4,Radial Velocity,2017,La Silla Observatory,0,1.630,20.1903000
221,GJ 3323 b,GJ 3323,1,2,Radial Velocity,2017,La Silla Observatory,0,1.230,5.3748400
222,GJ 3323 c,GJ 3323,1,2,Radial Velocity,2017,La Silla Observatory,0,1.320,5.3748400
223,GJ 3341 b,GJ 3341,1,1,Radial Velocity,2015,La Silla Observatory,0,2.460,23.6190000
224,GJ 338 B b,GJ 338 B,2,1,Radial Velocity,2020,Calar Alto Observatory,0,3.250,6.3325600
225,GJ 3470 b,GJ 3470,1,1,Radial Velocity,2012,La Silla Observatory,0,4.570,29.4214000
226,GJ 3473 b,GJ 3473,2,2,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,1.264,27.3644000
227,GJ 3473 c,GJ 3473,2,2,Radial Velocity,2020,Multiple Observatories,0,2.630,27.3644000
228,GJ 3512 b,GJ 3512,1,2,Radial Velocity,2019,Calar Alto Observatory,0,14.300,9.4863700
229,GJ 3512 c,GJ 3512,1,2,Radial Velocity,2020,Multiple Observatories,0,9.320,9.4863700
230,GJ 357 b,GJ 357,1,3,Transit,2019,Transiting Exoplanet Survey Satellite (TESS),0,1.217,9.4418100
231,GJ 357 c,GJ 357,1,3,Radial Velocity,2019,Multiple Observatories,0,1.660,9.4418100
232,GJ 357 d,GJ 357,1,3,Radial Velocity,2019,Multiple Observatories,0,2.340,9.4418100
233,GJ 3634 b,GJ 3634,1,1,Radial Velocity,2010,La Silla Observatory,0,2.830,20.3779000
234,GJ 367 b,GJ 367,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,0.718,9.4126300
235,GJ 3779 b,GJ 3779,1,1,Radial Velocity,2018,Calar Alto Observatory,0,2.750,13.7430000
236,GJ 3929 b,GJ 3929,1,2,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,1.090,15.8095000
237,GJ 3929 c,GJ 3929,1,2,Radial Velocity,2022,Multiple Observatories,0,2.260,15.8095000
238,GJ 393 b,GJ 393,1,1,Radial Velocity,2021,Multiple Observatories,0,1.170,7.0314900
239,GJ 3942 b,GJ 3942,1,1,Radial Velocity,2017,Roque de los Muchachos Observatory,0,2.570,16.9287000
240,GJ 3998 b,GJ 3998,1,2,Radial Velocity,2016,Roque de los Muchachos Observatory,0,1.380,18.1459000
241,GJ 3998 c,GJ 3998,1,2,Radial Velocity,2016,Roque de los Muchachos Observatory,0,2.380,18.1459000
242,GJ 411 b,GJ 411,1,2,Radial Velocity,2019,Haute-Provence Observatory,0,1.450,5.6757730
243,GJ 414 A b,GJ 414 A,2,2,Radial Velocity,2021,W. M. Keck Observatory,0,2.630,11.8893000
244,GJ 414 A c,GJ 414 A,2,2,Radial Velocity,2021,W. M. Keck Observatory,0,8.400,11.8893000
245,GJ 422 b,GJ 422,1,1,Radial Velocity,2014,Multiple Observatories,0,3.330,12.6631000
246,GJ 4276 b,GJ 4276,1,1,Radial Velocity,2019,Calar Alto Observatory,0,4.220,21.3362000
247,GJ 433 b,GJ 433,1,3,Radial Velocity,2011,La Silla Observatory,0,2.330,9.0645600
